epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.832,1.84844,2.57836,1.74943,0.28076,0.28213,0.21228,0.08744,2.04301,2.48048,1.95527,0.000475268,0.000475268,0.000475268
2,356.817,1.87246,2.30372,1.78184,0.3284,0.3212,0.23517,0.08663,2.00688,2.52608,1.93852,0.000920198,0.000920198,0.000920198
3,527.88,1.87281,2.22057,1.77623,0.41356,0.26062,0.25563,0.10878,2.02958,2.29405,1.94382,0.00133369,0.00133369,0.00133369
4,699.034,1.85263,2.16858,1.77114,0.37834,0.32192,0.29091,0.1234,1.95984,2.17447,1.84721,0.00128753,0.00128753,0.00128753
5,869.574,1.83601,2.11008,1.75005,0.38783,0.31353,0.2974,0.13078,1.96429,2.14807,1.89935,0.00124037,0.00124037,0.00124037
6,1040.13,1.79325,2.06654,1.72785,0.36149,0.30994,0.29005,0.1321,1.89831,2.21373,1.85639,0.00119322,0.00119322,0.00119322
7,1212.26,1.78439,2.02382,1.71637,0.42059,0.33052,0.32762,0.14898,1.8752,2.00306,1.78266,0.00114606,0.00114606,0.00114606
8,1381.8,1.76341,1.99248,1.69944,0.42357,0.34564,0.32839,0.15721,1.81629,1.91165,1.75943,0.0010989,0.0010989,0.0010989
9,1554.24,1.76022,1.97127,1.69581,0.41296,0.35667,0.34289,0.15855,1.83986,1.91345,1.78143,0.00105174,0.00105174,0.00105174
10,1722.55,1.73737,1.94423,1.67291,0.41323,0.35861,0.33775,0.15465,1.87221,1.95597,1.79084,0.00100459,0.00100459,0.00100459
11,1890.21,1.73524,1.92969,1.6746,0.44708,0.3751,0.37223,0.17707,1.7941,1.84899,1.73326,0.00095743,0.00095743,0.00095743
12,2059.65,1.71655,1.8976,1.66967,0.45308,0.38859,0.37371,0.17685,1.79947,1.82871,1.73374,0.000910273,0.000910273,0.000910273
13,2232.46,1.69965,1.86987,1.65696,0.47083,0.36202,0.37257,0.17797,1.79797,1.83111,1.75955,0.000863116,0.000863116,0.000863116
14,2404.76,1.70152,1.86857,1.65784,0.46511,0.35955,0.3699,0.17587,1.79302,1.85554,1.73029,0.000815959,0.000815959,0.000815959
15,2578,1.69022,1.83564,1.64277,0.49008,0.37514,0.38705,0.1842,1.79188,1.82297,1.72951,0.000768802,0.000768802,0.000768802
16,2748.94,1.67261,1.81384,1.63475,0.477,0.3705,0.38527,0.18638,1.7603,1.7605,1.7118,0.000721645,0.000721645,0.000721645
17,2920.36,1.67166,1.79843,1.62762,0.47843,0.37148,0.3849,0.18854,1.75038,1.75004,1.69967,0.000674488,0.000674488,0.000674488
18,3090.84,1.65138,1.77511,1.61302,0.48292,0.39877,0.4131,0.19735,1.74665,1.7035,1.69465,0.000627331,0.000627331,0.000627331
19,3259.41,1.64676,1.76282,1.60795,0.46846,0.39922,0.40111,0.19945,1.72963,1.70368,1.68145,0.000580174,0.000580174,0.000580174
20,3427.9,1.64333,1.74249,1.60267,0.47984,0.39445,0.41514,0.20418,1.73758,1.6814,1.69451,0.000533017,0.000533017,0.000533017
21,3582.83,1.6825,1.74275,1.66102,0.48184,0.40352,0.41686,0.20374,1.73926,1.68229,1.70305,0.00048586,0.00048586,0.00048586
22,3739.08,1.6648,1.68542,1.65489,0.49391,0.40407,0.42114,0.20734,1.73736,1.66071,1.69046,0.000438703,0.000438703,0.000438703
23,3894.28,1.65622,1.66211,1.64262,0.45319,0.42385,0.41855,0.20708,1.71733,1.65351,1.66471,0.000391546,0.000391546,0.000391546
24,4049.95,1.63375,1.63447,1.63301,0.48691,0.4174,0.43012,0.21019,1.72476,1.63562,1.68408,0.000344389,0.000344389,0.000344389
25,4202.4,1.62637,1.6045,1.62634,0.47556,0.42476,0.43147,0.21142,1.72993,1.63746,1.69557,0.000297232,0.000297232,0.000297232
26,4352.82,1.61482,1.58431,1.6114,0.48715,0.41558,0.43005,0.21088,1.73112,1.62713,1.6898,0.000250075,0.000250075,0.000250075
27,4505.1,1.59657,1.56602,1.60497,0.48166,0.43863,0.44107,0.21498,1.73285,1.61105,1.69182,0.000202918,0.000202918,0.000202918
28,4657.38,1.59331,1.5292,1.59451,0.49573,0.42851,0.43736,0.21773,1.72791,1.61141,1.67882,0.000155761,0.000155761,0.000155761
29,4810.02,1.58144,1.51792,1.588,0.50348,0.43651,0.44144,0.21747,1.72613,1.59148,1.68169,0.000108604,0.000108604,0.000108604
30,4960.72,1.56576,1.50079,1.57629,0.48502,0.44811,0.44156,0.2178,1.73032,1.59094,1.6834,6.1447e-05,6.1447e-05,6.1447e-05
